tempo,chroma_mean,spectral_centroid,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,filename,label,cluster
[123.046875],0.51241726,2464.7161447839985,-127.06787,78.25498,40.82234,35.704235,8.07534,22.285301,11.362493,18.321608,8.967964,9.450487,-0.049204692,3.1932619,0.1913847,Mood II Swing - Do It Your Way (Strictly Chill Edit).mp3,Favorites,0
[63.02400915],0.51661885,2248.6979723149834,-219.23602,74.185196,36.78219,34.57876,25.185818,28.40804,6.6721983,10.109926,-7.6978765,1.0039885,-5.9869556,-2.8478694,-6.977628,Chuggy_Lovebottoms_EP_(Lovebirds_Club_Remix)-BH-032-3(320k).mp3,Favorites,0
[123.046875],0.5301302,2256.5433161092787,-310.06085,49.817814,27.04107,37.888226,13.8646555,16.805294,10.026302,8.492058,10.042543,6.893439,0.5477519,4.0794687,2.081348,01 I Wish I Could Be Beautiful (Style of Eye Remix).m4a,Favorites,0
[123.046875],0.51757455,4481.183243442992,-80.29508,16.785154,26.378075,7.873737,8.91964,13.209669,0.04437303,-1.7674371,-4.515198,-0.21980605,-8.10642,-0.17184843,-8.522037,Format_B - Chunky (DJ S.K.T Remix) (DJ S.K.T Remix) [ClapCrate.com].mp3,Favorites,2
[123.046875],0.4433191,2518.384454428221,-185.59262,88.67242,37.341114,15.373104,10.896208,18.43136,8.073632,2.2059963,-10.266155,-3.0832667,-2.6875536,2.1586437,-3.4650156,31 Andhim - Like A Wirsing %28Original Mix%29 - Music-For-Dj.Com.mp3,Favorites,0
[123.046875],0.5716777,2993.8703368021083,-246.5594,42.91424,25.56493,23.682575,14.354815,16.850384,14.527142,16.851326,12.373125,8.991491,5.8363075,9.427089,5.3152003,06 maybe stainer_.mp3,Favorites,3
[123.046875],0.45231622,2317.9907277223347,-236.73293,51.776382,22.859604,30.735865,19.447653,21.10965,5.317024,11.455278,4.7829237,4.8496943,-4.1417418,3.2816513,1.6320587,22 lazy rich.mp3,Favorites,0
[123.046875],0.49157545,2249.089751879072,-190.48135,83.85635,28.415907,21.2857,5.188972,14.26492,4.7847223,9.612731,-4.2893367,1.2716086,-2.7934282,-0.09629212,-5.9561305,Jason Burns - Hold On (Original Club Mix).mp3,Favorites,0
[123.046875],0.60611784,3462.471419996244,-102.50704,28.929258,8.329168,16.546885,1.6338084,14.356421,-2.123164,8.1134405,-0.4657722,4.5794325,-2.7822452,3.7786343,-2.2164156,"BenKane, Daniel Dash - Lost In My Head (Original Mix).mp3",Favorites,1
[123.046875],0.59102416,1532.1455444166627,-314.8625,111.95276,45.181,13.957781,8.345582,12.401039,16.879196,17.696024,15.074595,4.748529,-3.3558822,-0.5815972,-0.33275497,09 CYCLONE REMIX!!!.mp3,Favorites,4
[123.046875],0.4886345,3680.775857722367,-87.17576,25.999334,-7.840952,-0.8178779,-19.708315,-4.964538,-9.183501,-5.3979993,-13.793628,-8.569199,-9.815377,0.18667026,-2.3659275,"Thando1988, Anton Karskiy, Lee Wilson - Nobody But You (4AM Dub).mp3",Favorites,2
[123.046875],0.5856494,2742.290643242165,-146.54826,68.9037,15.129717,9.58266,1.5842489,12.398594,3.3189857,4.779687,2.2002044,8.027595,5.942488,10.35159,8.1616745,DJ Romain - One Step (Original).mp3,Favorites,3
[123.046875],0.43488312,1395.6084112529716,-187.02237,110.34381,23.027544,20.423971,21.092407,13.604363,5.8737855,12.155775,2.4614406,8.886651,3.3240445,4.673306,3.350334,Hotlane - Whenever (James Curd Remix) .mp3,Favorites,4
